iter	Passed	Remaining
688	93783	6533
689	93915	6397
690	94058	6261
691	94169	6123
692	94295	5986
693	94432	5850
694	94590	5716
695	94728	5580
696	94861	5443
697	95023	5309
698	95131	5171
699	95307	5037
700	95416	4900
701	95533	4763
702	95678	4627
703	95815	4491
704	95961	4355
705	96118	4220
706	96226	4083
707	96351	3946
708	96466	3809
709	96635	3674
710	96818	3540
711	96964	3404
712	97076	3267
713	97226	3131
714	97386	2996
715	97544	2860
716	97664	2724
717	97812	2588
718	97932	2451
719	98105	2316
720	98241	2180
721	98365	2043
722	98494	1907
723	98639	1771
724	98774	1634
725	98913	1498
726	99023	1362
727	99178	1226
728	99329	1090
729	99456	953
730	99572	817
731	99695	680
732	99873	545
733	100046	408
734	100178	272
735	100318	136
736	100477	0
